DocIndex,lda_topic,lda_topic_prob,lda_topic_name
235,23,0.30561894178390503,Search User Document
236,23,0.37601301074028015,Search User Document
237,24,0.34685376286506653,Response Human Tool
238,13,0.3540186882019043,Aircraft Stress Transcripts
239,2,0.4195280075073242,Research Group Activities
240,34,0.5341439247131348,Learning Machine Outputs
241,14,0.3820824921131134,Risk Health Factors
242,35,0.2392987608909607,Advanced Match Platform
243,30,0.21473810076713562,Procurement Equipment Tool
244,23,0.24894268810749054,Search User Document
245,34,0.3729267716407776,Learning Machine Outputs
246,32,0.26340606808662415,Correct Time Activity
247,4,0.2992658317089081,Image Images Time
248,20,0.22284483909606934,Enterprise Internal Language
249,0,0.4777189791202545,Analysis Learning Product
250,5,0.29049012064933777,Detection Time Identify
251,24,0.31251877546310425,Response Human Tool
252,7,0.1913675218820572,Insights Enhance Decision
253,7,0.32348212599754333,Insights Enhance Decision
254,10,0.3690125346183777,Financial Policy Copilot
255,34,0.2797112762928009,Learning Machine Outputs
256,2,0.20444512367248535,Research Group Activities
257,0,0.3578445017337799,Analysis Learning Product
258,24,0.3476240038871765,Response Human Tool
259,35,0.4371185302734375,Advanced Match Platform
260,3,0.26721078157424927,Research Text Development
261,31,0.418181836605072,Analytics Department Operations
262,16,0.37280893325805664,Reports Narratives Surface
263,23,0.48837655782699585,Search User Document
264,32,0.26596516370773315,Correct Time Activity
265,7,0.3700641989707947,Insights Enhance Decision
266,10,0.16594117879867554,Financial Policy Copilot
267,34,0.4059567153453827,Learning Machine Outputs
268,25,0.45093366503715515,Plan Compliance Management
269,0,0.5413712859153748,Analysis Learning Product
270,34,0.31372371315956116,Learning Machine Outputs
271,23,0.5982987880706787,Search User Document
272,27,0.5802732110023499,FOIA Request Act
273,14,0.36834362149238586,Risk Health Factors
274,27,0.4166230857372284,FOIA Request Act
275,7,0.2837473452091217,Insights Enhance Decision
276,23,0.29065337777137756,Search User Document
277,0,0.27698004245758057,Analysis Learning Product
278,3,0.31562167406082153,Research Text Development
279,7,0.29981309175491333,Insights Enhance Decision
280,23,0.373968243598938,Search User Document
281,16,0.2268354594707489,Reports Narratives Surface
282,5,0.4462204873561859,Detection Time Identify
283,30,0.33741050958633423,Procurement Equipment Tool
284,16,0.3380109369754791,Reports Narratives Surface
285,27,0.4254782199859619,FOIA Request Act
286,8,0.26267698407173157,Provides External Capabilities
287,34,0.3493677079677582,Learning Machine Outputs
288,27,0.45290428400039673,FOIA Request Act
289,20,0.47060954570770264,Enterprise Internal Language
290,23,0.5982840061187744,Search User Document
291,10,0.3782365918159485,Financial Policy Copilot
292,7,0.26677292585372925,Insights Enhance Decision
293,35,0.3670344054698944,Advanced Match Platform
294,19,0.306435227394104,Taxonomy Human Multiple
295,23,0.40374991297721863,Search User Document
296,3,0.32757481932640076,Research Text Development
297,3,0.3769005239009857,Research Text Development
298,34,0.45732226967811584,Learning Machine Outputs
299,23,0.5476125478744507,Search User Document
300,33,0.32751327753067017,Track Description Policy
301,14,0.6534941792488098,Risk Health Factors
302,23,0.5982893109321594,Search User Document
303,5,0.2951682209968567,Detection Time Identify
304,5,0.4597019851207733,Detection Time Identify
305,35,0.3032926917076111,Advanced Match Platform
306,20,0.2407686412334442,Enterprise Internal Language
307,6,0.3698192536830902,Text Based Notices
308,9,0.2078009843826294,Compliance Review Security
309,3,0.48253196477890015,Research Text Development
310,18,0.22844675183296204,Topics Prohibited North
311,18,0.5341671109199524,Topics Prohibited North
312,18,0.8937681317329407,Topics Prohibited North
313,18,0.2986072301864624,Topics Prohibited North
314,18,0.8551927208900452,Topics Prohibited North
315,4,0.41473230719566345,Image Images Time
316,18,0.915569007396698,Topics Prohibited North
317,34,0.5107601881027222,Learning Machine Outputs
318,34,0.6231102347373962,Learning Machine Outputs
319,37,0.3440099358558655,Translation Language Metric
320,12,0.24387410283088684,Training Access Environment
321,34,0.48826372623443604,Learning Machine Outputs
322,34,0.37626832723617554,Learning Machine Outputs
323,4,0.37742292881011963,Image Images Time
324,23,0.371047705411911,Search User Document
325,34,0.669022798538208,Learning Machine Outputs
326,35,0.5640884637832642,Advanced Match Platform
327,34,0.2634480893611908,Learning Machine Outputs
328,34,0.41715922951698303,Learning Machine Outputs
329,4,0.465202659368515,Image Images Time
330,34,0.6704545617103577,Learning Machine Outputs
331,34,0.5027583837509155,Learning Machine Outputs
332,10,0.2612132132053375,Financial Policy Copilot
333,17,0.2506850063800812,FAA Development Operational
334,24,0.16783635318279266,Response Human Tool
335,34,0.3571317791938782,Learning Machine Outputs
336,5,0.7188284993171692,Detection Time Identify
337,23,0.30614423751831055,Search User Document
338,5,0.2510836720466614,Detection Time Identify
339,25,0.2978908121585846,Plan Compliance Management
340,20,0.6358973979949951,Enterprise Internal Language
341,20,0.5262004733085632,Enterprise Internal Language
342,34,0.21694955229759216,Learning Machine Outputs
343,34,0.31278929114341736,Learning Machine Outputs
344,0,0.5334487557411194,Analysis Learning Product
345,3,0.25455740094184875,Research Text Development
346,35,0.5435680747032166,Advanced Match Platform
347,35,0.5043166875839233,Advanced Match Platform
348,31,0.3333435356616974,Analytics Department Operations
349,23,0.305347740650177,Search User Document
350,34,0.616786777973175,Learning Machine Outputs
351,0,0.4951837956905365,Analysis Learning Product
352,34,0.6270606517791748,Learning Machine Outputs
353,34,0.7465569376945496,Learning Machine Outputs
354,34,0.537895917892456,Learning Machine Outputs
355,34,0.9500032663345337,Learning Machine Outputs
356,34,0.45271170139312744,Learning Machine Outputs
357,34,0.5262268781661987,Learning Machine Outputs
358,34,0.5972675681114197,Learning Machine Outputs
359,34,0.20772907137870789,Learning Machine Outputs
360,34,0.3256547451019287,Learning Machine Outputs
361,34,0.8276047706604004,Learning Machine Outputs
362,34,0.9856936931610107,Learning Machine Outputs
363,34,0.7671051025390625,Learning Machine Outputs
364,34,0.75409334897995,Learning Machine Outputs
365,34,0.6433380842208862,Learning Machine Outputs
366,34,0.5122177004814148,Learning Machine Outputs
